Province,Country/Region,Date,Confirmed,Deaths,Recovered
Afghanistan,Afghanistan,22-January-2020,0,0,0
Afghanistan,Afghanistan,23-January-2020,0,0,0
Afghanistan,Afghanistan,24-January-2020,0,0,0
Afghanistan,Afghanistan,25-January-2020,0,0,0
Afghanistan,Afghanistan,26-January-2020,0,0,0
Afghanistan,Afghanistan,27-January-2020,0,0,0
Afghanistan,Afghanistan,28-January-2020,0,0,0
Afghanistan,Afghanistan,29-January-2020,0,0,0
Afghanistan,Afghanistan,30-January-2020,0,0,0
Afghanistan,Afghanistan,31-January-2020,0,0,0
Afghanistan,Afghanistan,01-February-2020,0,0,0
Afghanistan,Afghanistan,02-February-2020,0,0,0
Afghanistan,Afghanistan,03-February-2020,0,0,0
Afghanistan,Afghanistan,04-February-2020,0,0,0
Afghanistan,Afghanistan,05-February-2020,0,0,0
Afghanistan,Afghanistan,06-February-2020,0,0,0
Afghanistan,Afghanistan,07-February-2020,0,0,0
Afghanistan,Afghanistan,08-February-2020,0,0,0
Afghanistan,Afghanistan,09-February-2020,0,0,0
Afghanistan,Afghanistan,10-February-2020,0,0,0
Afghanistan,Afghanistan,11-February-2020,0,0,0
Afghanistan,Afghanistan,12-February-2020,0,0,0
Afghanistan,Afghanistan,13-February-2020,0,0,0
Afghanistan,Afghanistan,14-February-2020,0,0,0
Afghanistan,Afghanistan,15-February-2020,0,0,0
Afghanistan,Afghanistan,16-February-2020,0,0,0
Afghanistan,Afghanistan,17-February-2020,0,0,0
Afghanistan,Afghanistan,18-February-2020,0,0,0
Afghanistan,Afghanistan,19-February-2020,0,0,0
Afghanistan,Afghanistan,20-February-2020,0,0,0
Afghanistan,Afghanistan,21-February-2020,0,0,0
Afghanistan,Afghanistan,22-February-2020,0,0,0
Afghanistan,Afghanistan,23-February-2020,0,0,0
Afghanistan,Afghanistan,24-February-2020,1,0,0
Afghanistan,Afghanistan,25-February-2020,0,0,0
Afghanistan,Afghanistan,26-February-2020,0,0,0
Afghanistan,Afghanistan,27-February-2020,0,0,0
Afghanistan,Afghanistan,28-February-2020,0,0,0
Afghanistan,Afghanistan,29-February-2020,0,0,0
Afghanistan,Afghanistan,01-March-2020,0,0,0
Afghanistan,Afghanistan,02-March-2020,0,0,0
Afghanistan,Afghanistan,03-March-2020,1,0,0
Afghanistan,Afghanistan,04-March-2020,2,0,0
Afghanistan,Afghanistan,05-March-2020,0,0,0
Afghanistan,Afghanistan,06-March-2020,0,0,0
Afghanistan,Afghanistan,07-March-2020,0,0,0
Afghanistan,Afghanistan,08-March-2020,1,0,0
Afghanistan,Afghanistan,09-March-2020,2,0,0
Afghanistan,Afghanistan,10-March-2020,1,0,0
Afghanistan,Afghanistan,11-March-2020,3,0,0
Afghanistan,Afghanistan,12-March-2020,1,0,0
Afghanistan,Afghanistan,13-March-2020,1,0,0
Afghanistan,Afghanistan,14-March-2020,2,0,0
Afghanistan,Afghanistan,15-March-2020,1,0,0
Afghanistan,Afghanistan,16-March-2020,2,0,1
Afghanistan,Afghanistan,17-March-2020,2,0,0
Afghanistan,Afghanistan,18-March-2020,4,0,0
Afghanistan,Afghanistan,19-March-2020,1,0,0
Afghanistan,Afghanistan,20-March-2020,4,0,0
Afghanistan,Afghanistan,21-March-2020,1,0,0
Afghanistan,Afghanistan,22-March-2020,4,1,0
Afghanistan,Afghanistan,23-March-2020,7,0,0
Afghanistan,Afghanistan,24-March-2020,2,0,0
Afghanistan,Afghanistan,25-March-2020,33,1,1
Afghanistan,Afghanistan,26-March-2020,4,1,0
Afghanistan,Afghanistan,27-March-2020,11,0,0
Afghanistan,Afghanistan,28-March-2020,16,1,0
Afghanistan,Afghanistan,29-March-2020,11,0,0
Afghanistan,Afghanistan,30-March-2020,28,0,0
Afghanistan,Afghanistan,31-March-2020,29,0,3
Afghanistan,Afghanistan,01-April-2020,22,0,0
